steps	elapsed	mean	median	stdev	average_q	average_loss
20007	590.952715158	-0.83008	-1.0	0.473097680205	-0.0687173646331	0
40004	1334.06479502	-0.435	-1.0	0.715608199433	-0.0737327213915	0
60016	1866.84421706	-0.22952	-0.1	0.758804555834	-0.0913569029241	0
80006	2738.13095903	-0.23108	-0.18	0.793007752103	0.104698534054	0
100011	3275.46049905	0.07092	0.16	0.752018008218	0.11536757455	0
120003	3650.07784104	0.20092	0.54	0.662829160566	0.127276399613	0
140018	4115.37498999	0.26928	0.6	0.604419063237	0.159628583982	0
160005	4656.91394711	0.33272	0.64	0.526342890556	0.326596720538	0
180012	5125.60243702	0.35008	0.48	0.468781985736	0.446121129087	0
200005	5614.69321513	0.34996	0.6	0.475204606267	0.466056655779	0
220002	6114.65685415	0.39876	0.64	0.441836261167	0.563225446093	0
240002	6856.31374407	0.3918	0.64	0.459977759831	0.53305455429	0
260001	7365.76197219	0.3814	0.6	0.412879291451	0.530552252523	0
280005	7699.70570517	0.39936	0.6	0.417954873972	0.540686906675	0
300000	8023.08539414	0.40712	0.6	0.418840223394	0.46268588946	0
320004	8344.08622408	0.39592	0.6	0.426211461378	0.515572736237	0
340004	8663.22297096	0.36956	0.48	0.436603285408	0.588073965224	0
360015	9002.17459917	0.3002	0.36	0.40232751264	0.588749971679	0
380003	9788.24257612	0.3822	0.56	0.404425914501	0.644503269289	0
400006	10613.4870551	0.38764	0.56	0.399281675332	0.580304127116	0
420001	11436.8572271	0.38256	0.54	0.388008243207	0.570271023763	0
440000	12252.1554282	0.37832	0.56	0.414593131956	0.538757561384	0
460003	13129.4628701	0.2444	0.16	0.527781767015	0.43191422089	0
480001	13983.4298301	0.38972	0.56	0.395066575654	0.453304117323	0
500011	14813.969703	0.39728	0.6	0.388287739916	0.564701868134	0
520001	15632.637259	0.38664	0.6	0.422722846561	0.519414996516	0
540008	16437.8260581	0.41196	0.6	0.399073198571	0.552122772411	0
560009	17219.7771561	0.4418	0.64	0.395330046728	0.613279236404	0
580004	18006.588172	0.37948	0.56	0.400807655087	0.587139141606	0
600005	18816.5455861	0.40412	0.6	0.404436638541	0.580280812423	0
620001	19591.598654	0.40836	0.64	0.400354835608	0.571960080799	0
640001	20322.839112	0.4222	0.64	0.393828212119	0.562826570264	0
660000	21130.8151371	0.34208	0.4	0.365440583981	0.568743554381	0
680005	21942.4973681	0.40204	0.6	0.417714644134	0.462804054358	0
700005	22730.448488	0.43536	0.68	0.398492743807	0.511256624647	0
720006	23477.705447	0.45384	0.68	0.393737328029	0.506293211888	0
740003	24237.5449882	0.43864	0.64	0.396042169219	0.610845319742	0
760001	24988.8941832	0.4392	0.64	0.384728704643	0.574954790193	0
780008	25727.0429962	0.41928	0.64	0.393589626889	0.531388339116	0
800002	26450.4517081	0.45212	0.68	0.393836784738	0.558210930479	0
820000	27190.3515232	0.45256	0.68	0.386414754846	0.590670648076	0
840003	27949.3428681	0.4102	0.64	0.409309044481	0.506943464302	0
860004	28702.498543	0.42896	0.6	0.38244107988	0.531668304442	0
880004	29450.3124361	0.43092	0.64	0.396071744039	0.54052812337	0
900005	30204.5283031	0.43548	0.68	0.398451921232	0.546655851906	0
920007	30953.942579	0.44156	0.64	0.392888696615	0.546890350522	0
940005	31699.307852	0.4266	0.68	0.412727978679	0.53602636578	0
960003	32436.4822102	0.44048	0.64	0.382704889742	0.589372010275	0
980003	33184.044405	0.42	0.64	0.402486764497	0.518570601584	0
1000000	33929.648319	0.45996	0.68	0.37935512216	0.604664302782	0
