steps	elapsed	mean	median	stdev	average_q	average_loss
20006	146.000921965	-0.64288	-1.0	0.544782243923	0.0695070764954	0.000332524868511
40007	335.931369066	-0.46352	-1.0	0.632521693931	0.0235997762269	0.000117439038882
60003	512.610095978	-0.1218	0.04	0.596143730444	0.0190039251621	0.000142947159094
80000	681.32157588	0.12708	0.08	0.473536176137	0.0684565691869	0.00020489760264
100002	851.345680952	0.23272	0.08	0.397797491752	0.156519059471	0.000238105486129
120001	1024.87926197	0.2924	0.08	0.403749989541	0.204528877046	0.000289881875418
140001	1196.46188498	0.33676	0.12	0.400686975646	0.236127741912	0.000331348253156
160000	1366.51197195	0.37116	0.16	0.401851887316	0.276314885108	0.00035667812063
180002	1538.78595495	0.36608	0.12	0.40579761619	0.282905921538	0.00033997983591
200004	1710.4148519	0.37668	0.16	0.403605593464	0.287325846818	0.000348555178825
220002	1883.97808003	0.3834	0.16	0.401424440688	0.286286113767	0.000317272870341
240012	2059.22689199	0.36968	0.16	0.415378908031	0.26773461615	0.000337787680983
260002	2234.77926588	0.37156	0.16	0.403431683837	0.286823002239	0.000312645126328
280006	2411.22814298	0.38588	0.16	0.39781261981	0.287865376372	0.000309781257706
300003	2600.2734139	0.383	0.16	0.396897628776	0.276938564669	0.000301872050512
320005	2801.85447598	0.35968	0.12	0.398660291009	0.280878803969	0.000333705237259
340005	3015.00676799	0.37708	0.16	0.397188661007	0.296905674479	0.000310060254082
360000	3254.97659588	0.37612	0.16	0.396659910609	0.274452703047	0.000332364939754
380002	3500.5186429	0.36296	0.12	0.39833994667	0.269787075274	0.000330936267739
400003	3738.43372607	0.36832	0.12	0.40922052617	0.291199755735	0.000286378783616
420002	3976.82010794	0.3716	0.16	0.399190171213	0.285264888366	0.000350378062781
440005	4221.98950696	0.35484	0.12	0.397583005983	0.253856770869	0.000301298852591
460003	4460.87982392	0.37336	0.16	0.39604540442	0.278940720707	0.000296092368671
480001	4724.16718388	0.37236	0.16	0.400527218117	0.279135034528	0.000296587154449
500001	4985.85428786	0.36656	0.16	0.398799206628	0.283258656445	0.000306914049056
