steps	elapsed	mean	median	stdev	average_q	average_loss
20021	144.518595934	-0.61424	-1.0	0.583361236913	-0.0167460884516	0.000168603026049
40005	329.802289963	-0.37356	-0.36	0.649425191596	-0.0401350131647	0.000216681420117
60012	514.46126008	-0.26572	0.04	0.696368444583	-0.00984268477009	0.00025559803019
80010	682.408519983	0.19284	0.08	0.476834673347	0.102799593328	0.000211012124288
100012	852.930941105	0.2782	0.08	0.404465514417	0.187785211545	0.000224637416809
120003	1025.47200298	0.303	0.12	0.404654352683	0.237778233091	0.000287063381262
140004	1196.11003709	0.34592	0.12	0.403774178455	0.263154309906	0.000300407136951
160004	1366.42856097	0.37084	0.16	0.418517444381	0.285244856179	0.000324621307199
180003	1539.154037	0.38216	0.2	0.420699801192	0.2594321089	0.000286053103382
200000	1712.32926011	0.38116	0.16	0.415613509151	0.294574665011	0.000323863211003
220002	1883.98454499	0.34016	0.12	0.39865235243	0.244772044602	0.000286921669839
240000	2056.71350813	0.36768	0.16	0.406295081552	0.284969927018	0.000342615806697
260004	2230.47075009	0.3876	0.16	0.398467333939	0.271775563397	0.000302223009237
280002	2408.93899298	0.36744	0.16	0.398313570068	0.24967348719	0.000286575646224
300000	2592.35581613	0.36416	0.16	0.404537198221	0.25855402331	0.000302994744692
320000	2791.99382615	0.3962	0.2	0.405369318381	0.292532322745	0.00030271095521
340006	2995.56480098	0.37944	0.16	0.406843960762	0.279860955114	0.000291571220047
360003	3227.98903608	0.3768	0.16	0.399000954588	0.278485123429	0.000288753149402
380003	3472.29141998	0.40092	0.38	0.400137055599	0.302614688221	0.000284089728744
400001	3717.83675909	0.36996	0.12	0.398292650491	0.279791776146	0.000276668539905
420002	3952.584095	0.38384	0.2	0.403965893168	0.268641938296	0.000256718986046
440014	4195.2248311	0.37084	0.16	0.38909573358	0.258665073408	0.00030356698664
460005	4432.80612898	0.38156	0.16	0.405852044817	0.262202667229	0.000289237510268
480005	4686.25415707	0.38988	0.16	0.397394902217	0.301898556362	0.000305823344593
500000	4950.68085814	0.38736	0.16	0.401299478783	0.277574133652	0.000336766993724
