steps	elapsed	mean	median	stdev	average_q	average_loss
20002	148.458888054	-0.82044	-1.0	0.421036195449	-0.019232988328	9.83147643132e-05
40010	342.801337004	-0.57864	-1.0	0.573084440703	-0.0491291781577	0.00010798598333
60016	530.978242159	-0.34484	-0.24	0.658398407397	-0.0497094171621	0.000222509232645
80022	702.925007105	0.05932	0.08	0.525348197226	0.0405639216312	0.000247381390093
100007	874.286489964	0.19808	0.08	0.416080565079	0.11936012382	0.000204340333724
120015	1048.72463894	0.24924	0.08	0.409531364291	0.209033712167	0.000339348099882
140004	1220.22541404	0.33004	0.12	0.41576153749	0.234377597107	0.000292810970759
160001	1390.12239194	0.33048	0.12	0.405087478781	0.243579080551	0.000306813913928
180003	1561.64805603	0.3518	0.12	0.395005809564	0.25768756463	0.000305639087994
200003	1734.34828615	0.37	0.16	0.403891976559	0.247064406484	0.00038849032522
220024	1907.27603292	0.37304	0.16	0.40472430142	0.278445897552	0.000333041361459
240004	2080.79362297	0.36436	0.16	0.405324164192	0.284302481709	0.000327187405326
260005	2255.76259303	0.37892	0.16	0.404660083753	0.28593952281	0.000356356231216
280000	2435.25145197	0.35596	0.16	0.402062349061	0.26228120342	0.000304565110401
300003	2622.23469114	0.36888	0.16	0.393029792787	0.262258374737	0.000257938249556
320003	2820.30905008	0.35936	0.12	0.400303676518	0.275878612059	0.000259985228936
340003	3024.45112705	0.35436	0.12	0.396321663881	0.279870501268	0.000285596536525
360000	3263.11944699	0.36784	0.16	0.392227965827	0.27173790031	0.000318574357212
380008	3508.7110281	0.37532	0.16	0.396845037242	0.294695087606	0.000328996389829
400003	3749.75519514	0.37976	0.16	0.395967590508	0.284283215619	0.000337986041276
420000	3987.99308801	0.3626	0.16	0.388228749015	0.263857107757	0.000358715043783
440005	4232.52920294	0.3954	0.16	0.392514085489	0.284514383203	0.000340309480238
460004	4474.93278694	0.3794	0.16	0.406268746391	0.286311201649	0.000362055661158
480003	4733.51147199	0.36796	0.16	0.394576645443	0.276894892511	0.000349266450047
500000	4994.96653605	0.39208	0.16	0.390564994098	0.290977287805	0.000316850972496
