steps	elapsed	mean	median	stdev	average_q	average_loss
20011	157.773439169	-0.66732	-1.0	0.534923322132	-0.104879428214	0.000322200329714
40020	340.590960979	-0.30304	-0.04	0.635394117131	-0.098700591309	0.000220730861705
60000	511.891393185	-0.04044	0.08	0.555337200092	-0.0260431687047	0.000195269145523
80000	678.975153208	0.21076	0.08	0.396219651724	0.133333142634	0.000285560362657
100000	849.813760042	0.2774	0.08	0.404690764182	0.194826441776	0.000337481399555
120002	1021.9427681	0.32516	0.12	0.38702553296	0.230825680769	0.000357850183657
140006	1191.73477006	0.3786	0.16	0.405268160953	0.244233547306	0.00039321497219
160003	1362.73846102	0.3376	0.12	0.40356449832	0.262351501904	0.000432250114915
180007	1533.5193572	0.38968	0.16	0.402035732654	0.296822510293	0.000457363121124
200005	1706.68341899	0.37356	0.16	0.407933494747	0.273956158323	0.000376706768035
220003	1877.68127704	0.36932	0.16	0.415839945725	0.268230825303	0.000403461122911
240006	2050.92516518	0.38564	0.16	0.401071875166	0.284810403112	0.000337640498813
260003	2227.60556412	0.4114	0.64	0.398567555248	0.292293342907	0.000323701867241
280004	2410.81490517	0.3814	0.16	0.405390653052	0.28547757049	0.000283553622348
300001	2605.72404718	0.38832	0.16	0.396708652988	0.309792387078	0.000319894137704
320000	2810.65577221	0.36996	0.16	0.395836184153	0.272509643925	0.000323849121298
340003	3040.57038903	0.3798	0.16	0.399170260537	0.310255639619	0.000252605073849
360000	3280.37845898	0.39892	0.2	0.413149762588	0.28729493975	0.000302643045044
380000	3521.65510011	0.37404	0.16	0.400867525715	0.263839900581	0.000299501305804
400002	3759.66641212	0.39536	0.18	0.397643799136	0.301999702901	0.000358971063219
420005	3999.49721408	0.3876	0.16	0.396601983269	0.279362155443	0.00029547362399
440005	4244.35752416	0.35364	0.16	0.401777270855	0.285786511253	0.000286201169478
460003	4485.8664391	0.37712	0.16	0.395920773462	0.286689553049	0.000274982570544
480000	4749.72764707	0.39156	0.16	0.398540840067	0.289617162859	0.000315176526469
500000	5018.76894403	0.4076	0.2	0.393353997523	0.265401519337	0.000263183122616
